"filename", "language", "PostCSS", "HTML", "MS SQL", "Java", "JSON", "comment", "blank", "total"
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\pdf\EstimatePdfTemplateService.java", "Java", 0, 0, 0, -2, 0, 0, 0, -2
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\pdf\model\EstimatePdfItemCostLine.java", "Java", 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\pdf\model\EstimatePdfItemTypeGroup.java", "Java", 0, 0, 0, -19, 0, 0, -6, -25
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\pdf\model\EstimatePdfModel.java", "Java", 0, 0, 0, 4, 0, 14, 2, 20
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\pdf\model\EstimatePdfPrintableRow.java", "Java", 0, 0, 0, 79, 0, 22, 17, 118
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\pdf\model\EstimatePdfPrintableRowPartition.java", "Java", 0, 0, 0, 25, 0, 0, 7, 32
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\pdf\model\EstimatePdfPrintableRowType.java", "Java", 0, 0, 0, 7, 0, 0, 1, 8
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\pdf\model\EstimatePdfWorkTypeGroup.java", "Java", 0, 0, 0, 19, 0, 0, 6, 25
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\repository\BidRevisionItemRepository.java", "Java", 0, 0, 0, 19, 0, 0, -1, 18
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\repository\CompanyWorkTypeDivisionRepository.java", "Java", 0, 0, 0, 16, 0, 0, 7, 23
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\repository\CompanyWorkTypeRepository.java", "Java", 0, 0, 0, 85, 0, 0, 15, 100
