Date : 2026-07-27 10:37:58
Directory : c:\Users\vlad\IdeaProjects\Construction-Contractor-Workflow-Toolkit\src
Total : 289 files,  60117 codes, 226 comments, 4791 blanks, all 65134 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| main\java\com\company\ConstructionContractorWorkflowToolkit\note                                                                                                                                         |          6 |        172 |          0 |         44 |        216 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\note\controller                                                                                                                              |          1 |         26 |          0 |          7 |         33 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\note\dto                                                                                                                                     |          2 |         22 |          0 |          5 |         27 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\note\entity                                                                                                                                  |          1 |         25 |          0 |          8 |         33 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\note\repository                                                                                                                              |          1 |         16 |          0 |          5 |         21 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\note\service                                                                                                                                 |          1 |         83 |          0 |         19 |        102 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\project                                                                                                                                      |         24 |      1,094 |          5 |        337 |      1,436 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\project\controller                                                                                                                           |          1 |         59 |          0 |         15 |         74 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\project\dto                                                                                                                                  |         10 |        140 |          2 |         45 |        187 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\project\entity                                                                                                                               |          4 |         99 |          2 |         36 |        137 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\project\repository                                                                                                                           |          5 |        169 |          1 |         58 |        228 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\project\repository (Files)                                                                                                                   |          3 |        136 |          1 |         31 |        168 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\project\repository\projection                                                                                                                |          2 |         33 |          0 |         27 |         60 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\project\service                                                                                                                              |          4 |        627 |          0 |        183 |        810 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\user                                                                                                                                         |         12 |        548 |          0 |        175 |        723 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\user\controller                                                                                                                              |          1 |         71 |          0 |         15 |         86 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\user\dto                                                                                                                                     |          7 |        151 |          0 |         51 |        202 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\user\entity                                                                                                                                  |          2 |        102 |          0 |         30 |        132 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\user\repository                                                                                                                              |          1 |         12 |          0 |          7 |         19 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\user\service                                                                                                                                 |          1 |        212 |          0 |         72 |        284 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\workflow                                                                                                                                     |          7 |         74 |          0 |         29 |        103 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\workflow\entity                                                                                                                              |          3 |         66 |          0 |         22 |         88 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\workflow\repository                                                                                                                          |          3 |          8 |          0 |          6 |         14 |
| main\java\com\company\ConstructionContractorWorkflowToolkit\workflow\service                                                                                                                             |          1 |          0 |          0 |          1 |          1 |
| main\resources                                                                                                                                                                                           |         34 |     45,952 |         99 |        495 |     46,546 |
| main\resources (Files)                                                                                                                                                                                   |          2 |         44 |          0 |         12 |         56 |
| main\resources\catalog                                                                                                                                                                                   |          1 |     43,872 |          0 |          0 |     43,872 |
| main\resources\catalog\estimate                                                                                                                                                                          |          1 |     43,872 |          0 |          0 |     43,872 |
| main\resources\db                                                                                                                                                                                        |         28 |      1,592 |         43 |        393 |      2,028 |
| main\resources\db\migration                                                                                                                                                                              |         28 |      1,592 |         43 |        393 |      2,028 |
| main\resources\templates                                                                                                                                                                                 |          3 |        444 |         56 |         90 |        590 |
| main\resources\templates\estimate                                                                                                                                                                        |          3 |        444 |         56 |         90 |        590 |
| main\resources\templates\estimate\pdf                                                                                                                                                                    |          3 |        444 |         56 |         90 |        590 |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                                                                                                 | language | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\Users\vlad\IdeaProjects\Construction-Contractor-Workflow-Toolkit\src\main\java\com\company\ConstructionContractorWorkflowToolkit\PmWorkflowApplication.java                                           | Java     |          9 |          0 |          3 |         12 |
| c:\Users\vlad\IdeaProjects\Construction-Contractor-Workflow-Toolkit\src\main\java\com\company\ConstructionContractorWorkflowToolkit\audit\controller\EstimateAuditController.java                        | Java     |         54 |          0 |         12 |         66 |
| c:\Users\vlad\IdeaProjects\Construction-Contractor-Workflow-Toolkit\src\main\java\com\company\ConstructionContractorWorkflowToolkit\audit\controller\ProjectAuditController.java                         | Java     |         35 |          0 |          7 |         42 |
| c:\Users\vlad\IdeaProjects\Construction-Contractor-Workflow-Toolkit\src\main\java\com\company\ConstructionContractorWorkflowToolkit\audit\dto\EstimateAuditLogResponse.java                              | Java     |         18 |          0 |         12 |         30 |
| c:\Users\vlad\IdeaProjects\Construction-Contractor-Workflow-Toolkit\src\main\java\com\company\ConstructionContractorWorkflowToolkit\audit\dto\ProjectAuditLogResponse.java                               | Java     |         17 |          0 |          4 |         21 |
| c:\Users\vlad\IdeaProjects\Construction-Contractor-Workflow-Toolkit\src\main\java\com\company\ConstructionContractorWorkflowToolkit\audit\entity\EstimateAuditLog.java                                   | Java     |         48 |          0 |         16 |         64 |
| c:\Users\vlad\IdeaProjects\Construction-Contractor-Workflow-Toolkit\src\main\java\com\company\ConstructionContractorWorkflowToolkit\audit\entity\ProjectAuditLog.java                                    | Java     |         31 |          0 |         12 |         43 |
| c:\Users\vlad\IdeaProjects\Construction-Contractor-Workflow-Toolkit\src\main\java\com\company\ConstructionContractorWorkflowToolkit\audit\repository\EstimateAuditLogRepository.java                     | Java     |         41 |          0 |          7 |         48 |
| c:\Users\vlad\IdeaProjects\Construction-Contractor-Workflow-Toolkit\src\main\java\com\company\ConstructionContractorWorkflowToolkit\audit\repository\ProjectAuditLogRepository.java                      | Java     |         25 |          0 |          5 |         30 |
| c:\Users\vlad\IdeaProjects\Construction-Contractor-Workflow-Toolkit\src\main\java\com\company\ConstructionContractorWorkflowToolkit\audit\service\EstimateAuditService.java                              | Java     |         81 |          0 |         27 |        108 |
| c:\Users\vlad\IdeaProjects\Construction-Contractor-Workflow-Toolkit\src\main\java\com\company\ConstructionContractorWorkflowToolkit\audit\service\ProjectAuditService.java                               | Java     |         68 |          0 |         14 |         82 |
| c:\Users\vlad\IdeaProjects\Construction-Contractor-Workflow-Toolkit\src\main\java\com\company\ConstructionContractorWorkflowToolkit\auth\controller\AuthController.java                                  | Java     |         17 |          0 |          4 |         21 |
| c:\Users\vlad\IdeaProjects\Construction-Contractor-Workflow-Toolkit\src\main\java\com\company\ConstructionContractorWorkflowToolkit\auth\dto\LoginRequest.java                                           | Java     |         12 |          0 |          4 |         16 |
| c:\Users\vlad\IdeaProjects\Construction-Contractor-Workflow-Toolkit\src\main\java\com\company\ConstructionContractorWorkflowToolkit\auth\dto\LoginResponse.java                                          | Java     |         11 |          0 |          3 |         14 |
| c:\Users\vlad\IdeaProjects\Construction-Contractor-Workflow-Toolkit\src\main\java\com\company\ConstructionContractorWorkflowToolkit\auth\security\CustomUserDetailsService.java                          | Java     |         26 |          0 |          6 |         32 |
| c:\Users\vlad\IdeaProjects\Construction-Contractor-Workflow-Toolkit\src\main\java\com\company\ConstructionContractorWorkflowToolkit\auth\service\AuthService.java                                        | Java     |         30 |          0 |          8 |         38 |
| c:\Users\vlad\IdeaProjects\Construction-Contractor-Workflow-Toolkit\src\main\java\com\company\ConstructionContractorWorkflowToolkit\auth\service\JwtService.java                                         | Java     |         29 |          1 |          8 |         38 |
| c:\Users\vlad\IdeaProjects\Construction-Contractor-Workflow-Toolkit\src\main\java\com\company\ConstructionContractorWorkflowToolkit\businesspartner\controller\BusinessPartnerController.java            | Java     |        127 |          0 |         40 |        167 |
| c:\Users\vlad\IdeaProjects\Construction-Contractor-Workflow-Toolkit\src\main\java\com\company\ConstructionContractorWorkflowToolkit\businesspartner\dto\BusinessPartnerAddressResponse.java              | Java     |         22 |          0 |          7 |         29 |
| c:\Users\vlad\IdeaProjects\Construction-Contractor-Workflow-Toolkit\src\main\java\com\company\ConstructionContractorWorkflowToolkit\businesspartner\dto\BusinessPartnerContactResponse.java              | Java     |         21 |          0 |          7 |         28 |
| c:\Users\vlad\IdeaProjects\Construction-Contractor-Workflow-Toolkit\src\main\java\com\company\ConstructionContractorWorkflowToolkit\businesspartner\dto\BusinessPartnerResponse.java                     | Java     |         32 |          0 |         12 |         44 |
| c:\Users\vlad\IdeaProjects\Construction-Contractor-Workflow-Toolkit\src\main\java\com\company\ConstructionContractorWorkflowToolkit\businesspartner\dto\BusinessPartnerSummaryResponse.java              | Java     |         17 |          0 |          5 |         22 |
| c:\Users\vlad\IdeaProjects\Construction-Contractor-Workflow-Toolkit\src\main\java\com\company\ConstructionContractorWorkflowToolkit\businesspartner\dto\CreateBusinessPartnerAddressRequest.java         | Java     |         28 |          0 |         10 |         38 |
| c:\Users\vlad\IdeaProjects\Construction-Contractor-Workflow-Toolkit\src\main\java\com\company\ConstructionContractorWorkflowToolkit\businesspartner\dto\CreateBusinessPartnerContactRequest.java         | Java     |         28 |          0 |          9 |         37 |
| c:\Users\vlad\IdeaProjects\Construction-Contractor-Workflow-Toolkit\src\main\java\com\company\ConstructionContractorWorkflowToolkit\businesspartner\dto\CreateBusinessPartnerRequest.java                | Java     |         45 |          0 |         16 |         61 |
| c:\Users\vlad\IdeaProjects\Construction-Contractor-Workflow-Toolkit\src\main\java\com\company\ConstructionContractorWorkflowToolkit\businesspartner\dto\CreateCustomerProfileRequest.java                | Java     |         18 |          0 |          6 |         24 |
| c:\Users\vlad\IdeaProjects\Construction-Contractor-Workflow-Toolkit\src\main\java\com\company\ConstructionContractorWorkflowToolkit\businesspartner\dto\CreateVendorProfileRequest.java                  | Java     |         24 |          0 |         10 |         34 |
| c:\Users\vlad\IdeaProjects\Construction-Contractor-Workflow-Toolkit\src\main\java\com\company\ConstructionContractorWorkflowToolkit\businesspartner\dto\CustomerProfileResponse.java                     | Java     |         18 |          0 |          6 |         24 |
| c:\Users\vlad\IdeaProjects\Construction-Contractor-Workflow-Toolkit\src\main\java\com\company\ConstructionContractorWorkflowToolkit\businesspartner\dto\UpdateBusinessPartnerAddressRequest.java         | Java     |         28 |          0 |         10 |         38 |
| c:\Users\vlad\IdeaProjects\Construction-Contractor-Workflow-Toolkit\src\main\java\com\company\ConstructionContractorWorkflowToolkit\businesspartner\dto\UpdateBusinessPartnerContactRequest.java         | Java     |         28 |          0 |          9 |         37 |
| c:\Users\vlad\IdeaProjects\Construction-Contractor-Workflow-Toolkit\src\main\java\com\company\ConstructionContractorWorkflowToolkit\businesspartner\dto\UpdateBusinessPartnerRequest.java                | Java     |         32 |          0 |         11 |         43 |
| c:\Users\vlad\IdeaProjects\Construction-Contractor-Workflow-Toolkit\src\main\java\com\company\ConstructionContractorWorkflowToolkit\businesspartner\dto\UpdateCustomerProfileRequest.java                | Java     |         18 |          0 |          6 |         24 |
| c:\Users\vlad\IdeaProjects\Construction-Contractor-Workflow-Toolkit\src\main\java\com\company\ConstructionContractorWorkflowToolkit\businesspartner\dto\UpdateVendorProfileRequest.java                  | Java     |         24 |          0 |         10 |         34 |
| c:\Users\vlad\IdeaProjects\Construction-Contractor-Workflow-Toolkit\src\main\java\com\company\ConstructionContractorWorkflowToolkit\businesspartner\dto\VendorProfileResponse.java                       | Java     |         22 |          0 |          6 |         28 |
| c:\Users\vlad\IdeaProjects\Construction-Contractor-Workflow-Toolkit\src\main\java\com\company\ConstructionContractorWorkflowToolkit\businesspartner\entity\BusinessPartner.java                          | Java     |         49 |          0 |         20 |         69 |
| c:\Users\vlad\IdeaProjects\Construction-Contractor-Workflow-Toolkit\src\main\java\com\company\ConstructionContractorWorkflowToolkit\businesspartner\entity\BusinessPartnerAddress.java                   | Java     |         50 |          0 |         20 |         70 |
| c:\Users\vlad\IdeaProjects\Construction-Contractor-Workflow-Toolkit\src\main\java\com\company\ConstructionContractorWorkflowToolkit\businesspartner\entity\BusinessPartnerContact.java                   | Java     |         48 |          0 |         19 |         67 |
| c:\Users\vlad\IdeaProjects\Construction-Contractor-Workflow-Toolkit\src\main\java\com\company\ConstructionContractorWorkflowToolkit\businesspartner\entity\BusinessPartnerExternalRef.java               | Java     |         56 |          0 |         22 |         78 |
| c:\Users\vlad\IdeaProjects\Construction-Contractor-Workflow-Toolkit\src\main\java\com\company\ConstructionContractorWorkflowToolkit\businesspartner\entity\CustomerProfile.java                          | Java     |         42 |          0 |         16 |         58 |
